id,name,address,latitude,longitude,operator,hours_json,amenities,avg_rating,visit_count
42,"Far Rockaway Library, QPL",Library | POINT (-73.752481 40.604322),40.604322,-73.752481,QPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-18:00"", ""wed"": ""10:00-18:00"", ""thu"": ""12:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)"",""Changing Stations, in women's restroom only""}",0,0
43,Sunset Park Playground,Park | POINT (-74.005 40.64768),40.647680,-74.005000,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
44,Hoover - Manton Playgrounds,Park | POINT (-73.8201 40.71052),40.710520,-73.820100,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
45,Joseph Austin Playground,Park | POINT (-73.8012 40.71569),40.715690,-73.801200,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Partially Accessible"",""Multi-Stall W/M Restrooms""}",0,0
46,Prospect Park Indoor Tennis,Park | POINT (-73.970257 40.651267),40.651267,-73.970257,NYC Parks Concessionaire,"{""mon"": ""07:00-23:00"", ""tue"": ""07:00-23:00"", ""wed"": ""07:00-23:00"", ""thu"": ""07:00-23:00"", ""fri"": ""07:00-23:00"", ""sat"": ""07:00-23:00"", ""sun"": ""07:00-23:00""}","{""Fully Accessible"",""Both Single-Stall All Gender and Multi-Stall W/M"",""Changing Stations""}",0,0
47,"Broadway Library, QPL",Library | POINT (-73.918625 40.758538),40.758538,-73.918625,QPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-18:00"", ""wed"": ""10:00-18:00"", ""thu"": ""12:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Both Single-Stall All Gender and Multi-Stall W/M"",""Restrooms for adult are in the basement.
Restrooms for children are located on the 2nd floor in the Children's room and require keys."",""Changing Stations, in women's restroom only""}",0,0
48,Saw Mill Playground,Park | POINT (-73.9193 40.80892),40.808920,-73.919300,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
49,Kissena Park Zone 2 (Tennis Courts),Park | POINT (-73.8086 40.74727),40.747270,-73.808600,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Multi-Stall W/M Restrooms"",""Status: Not Operational"",""Changing Stations, in women's restroom only""}",0,0
50,Nellie Bly Amusement Park,Park | POINT (-73.994912 40.590614),40.590614,-73.994912,NYC Parks Concessionaire,"{""mon"": ""Closed"", ""tue"": """", ""wed"": """", ""thu"": """", ""fri"": ""12:00-Dusk"", ""sat"": ""Closed"", ""sun"": ""11:00-Dusk""}","{""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
